iter	Logloss
0	0.6532749593
1	0.6201326769
2	0.5952929163
3	0.570397795
4	0.5524342677
5	0.5353404541
6	0.5213014994
7	0.5093479876
8	0.4969078342
9	0.4886304669
10	0.4803416038
11	0.4733762371
12	0.4672362018
13	0.4608937133
14	0.4556537469
15	0.4500566005
16	0.446272507
17	0.4421828074
18	0.4369656219
19	0.4339830292
20	0.4312268359
21	0.4286540052
22	0.4264557164
23	0.4238356072
24	0.4205749644
25	0.4187374101
26	0.4169724392
27	0.4152113781
28	0.413448282
29	0.4121200951
30	0.410761842
31	0.4093808525
32	0.4079243631
33	0.4063786209
34	0.4053252648
35	0.4042353137
36	0.4031670765
37	0.4018911952
38	0.4008022494
39	0.399945276
40	0.3989943852
41	0.3981535795
42	0.3976969168
43	0.3970195795
44	0.3960760772
45	0.3951008048
46	0.3945491829
47	0.3940617634
48	0.3935754221
49	0.3929716218
50	0.3923631058
51	0.3918347685
52	0.3913643091
53	0.3909439443
54	0.3901826607
55	0.38968927
56	0.389230364
57	0.3888064091
58	0.3883046936
59	0.3879103685
60	0.3871961963
61	0.3869302874
62	0.3867172821
63	0.3862984447
64	0.3858817843
65	0.3855890488
66	0.3853300199
67	0.3851362555
68	0.3848058807
69	0.3844812013
70	0.3842578016
71	0.3837855145
72	0.3834957053
73	0.3832380918
74	0.3827066896
75	0.3825438818
76	0.3823028594
77	0.3819969634
78	0.3817409665
79	0.3815024155
80	0.381292237
81	0.3810679042
82	0.3808913685
83	0.3804111037
84	0.3800208261
85	0.3797613385
86	0.3795768998
87	0.3793723559
88	0.3792546827
89	0.3791464691
90	0.3788926531
91	0.3785930628
92	0.3783291606
93	0.3781224342
94	0.3780069514
95	0.3778669901
96	0.377633296
97	0.3774948822
98	0.3772438924
99	0.3771154006
100	0.3768482741
101	0.3767015107
102	0.3764560302
103	0.3762973843
104	0.376110982
105	0.3760122835
106	0.3758638762
107	0.3756328463
108	0.375444153
109	0.3752934603
110	0.3750127504
111	0.3747658971
112	0.3746284487
113	0.3744004307
114	0.3742769642
115	0.374077312
116	0.3740156422
117	0.3738566899
118	0.3736506806
119	0.3735944902
120	0.3733170832
121	0.3731549838
122	0.3728940216
123	0.3727668761
124	0.3725932119
125	0.3724666563
126	0.3723246833
127	0.3721430523
128	0.3720324033
129	0.3717314002
130	0.3715094529
131	0.3713917743
132	0.3712273296
133	0.3710529325
134	0.3709207773
135	0.3707304476
136	0.3706406441
137	0.3706007208
138	0.3704239621
139	0.3702049961
140	0.3700364579
141	0.3699168814
142	0.3697042425
143	0.3695599698
144	0.3693988178
145	0.3692446388
146	0.3690300828
147	0.3689356872
148	0.3688407811
149	0.3686887693
150	0.368490654
151	0.3683992393
152	0.3683132743
153	0.3682449147
154	0.3680977202
155	0.3679314759
156	0.3677021266
157	0.3675280468
158	0.3673340393
159	0.3671431143
160	0.3670356139
161	0.3668835694
162	0.3667024085
163	0.3665598288
164	0.3663958811
165	0.3662230118
166	0.3660128005
167	0.3658377788
168	0.365723108
169	0.3655300431
170	0.3653985371
171	0.3651667312
172	0.3650620715
173	0.3649204978
174	0.3647733662
175	0.3644956964
176	0.3642928511
177	0.3642232603
178	0.3641052702
179	0.363948406
180	0.3637327382
181	0.3636081989
182	0.3633742713
183	0.3632943612
184	0.3631349748
185	0.3630283422
186	0.3628064967
187	0.3627015522
188	0.3625468437
189	0.362356601
190	0.3622092479
191	0.3619779427
192	0.3618010672
193	0.3616840212
194	0.3614782742
195	0.361321425
196	0.3610754998
197	0.3609691185
198	0.3608131931
199	0.3605617942
